name,lat,lon,depth,magnitude
flegrei_2018_09_18_21_36_41,40.827499,14.148,2320.0,2.5
flegrei_2019_03_15_04_26_41,40.828671,14.1485,2130.0,2.5
flegrei_2019_12_06_00_17_23,40.83017,14.14933,2330.0,3.1
flegrei_2020_04_08_00_50_29,40.826672,14.143,2250.0,2.7
flegrei_2020_04_26_02_41_13,40.829498,14.14817,2560.0,2.7
flegrei_2020_04_26_02_59_02,40.82917,14.15,2570.0,3.3
flegrei_2020_12_28_08_09_43,40.831329,14.14583,2310.0,2.6
flegrei_2022_03_16_14_14_34,40.8283,14.1352,2540.0,3.47
flegrei_2022_03_29_17_45_32,40.8293,14.1507,2490.0,3.57
flegrei_2022_04_19_02_05_54,40.828201,14.1422,2380.0,2.94
flegrei_2022_07_30_03_27_48,40.827301,14.1402,1800.0,2.51
flegrei_2022_11_12_21_37_54,40.809799,14.1172,1740.0,2.67
flegrei_2023_01_19_08_44_30,40.827202,14.1338,2540.0,2.59
flegrei_2023_02_05_00_45_36,40.8032,14.1108,4460.0,2.97
flegrei_2023_03_04_13_15_20,40.831799,14.1247,2460.0,2.6
flegrei_2023_03_13_22_40_53,40.8358,14.1402,2770.0,2.83
flegrei_2023_03_24_05_24_43,40.828701,14.1477,2110.0,2.59
flegrei_2023_04_10_03_54_45,40.835701,14.1417,2580.0,2.92
flegrei_2023_04_23_00_35_20,40.82,14.1463,110.0,1.99
flegrei_2023_05_08_02_28_34,40.827702,14.1402,2650.0,3.48
flegrei_2023_05_08_22_33_17,40.824799,14.1377,2350.0,2.69
flegrei_2023_06_11_06_44_25,40.834301,14.1102,2710.0,3.56
flegrei_2023_06_15_15_39_40,40.831501,14.1402,2790.0,2.89
flegrei_2023_08_18_04_10_30,40.827702,14.1517,2250.0,2.53
flegrei_2023_08_18_04_18_05,40.831501,14.1375,2630.0,3.64
flegrei_2023_08_18_04_22_49,40.8297,14.1387,2370.0,3.12
flegrei_2023_08_27_21_14_23,40.801998,14.1142,2990.0,2.61
flegrei_2023_09_07_17_45_28,40.831299,14.1465,2490.0,3.79
flegrei_2023_09_12_02_28_50,40.828,14.139167,2310.0,2.9
flegrei_2023_09_22_09_01_59,40.8315,14.143167,2100.0,3.2
flegrei_2023_09_24_15_35_02,40.814,14.153667,2980.0,2.8
flegrei_2023_09_26_06_31_43,40.8075,14.106667,3340.0,2.5
flegrei_2023_09_26_07_10_29,40.805833,14.108,3690.0,3.3
flegrei_2023_09_27_01_35_34,40.819167,14.159,2830.0,4.2
flegrei_2023_09_29_21_57_58,40.8265,14.139667,2790.0,2.7
flegrei_2023_10_01_13_33_09,40.832833,14.135667,2460.0,2.9
flegrei_2023_10_02_20_08_26,40.830667,14.15,2630.0,4.0
flegrei_2023_10_04_08_46_55,40.8295,14.134167,2500.0,2.6
flegrei_2023_10_16_10_36_21,40.825,14.142167,2070.0,3.6
flegrei_2023_11_23_18_41_46,40.8315,14.133333,2810.0,3.0
flegrei_2024_01_21_09_35_04,40.806333,14.106667,2960.0,2.6
flegrei_2024_02_17_18_09_50,40.811333,14.0975,2980.0,2.7
flegrei_2024_03_03_09_01_59,40.816,14.152167,2950.0,3.2
flegrei_2024_04_04_05_14_36,40.825833,14.114,2390.0,2.7
flegrei_2024_04_06_11_59_31,40.803667,14.1145,2960.0,2.5
flegrei_2024_04_09_20_32_10,40.832833,14.147167,2780.0,2.8
flegrei_2024_04_14_07_44_24,40.828167,14.137333,2650.0,3.7
