name,lat,lon,depth,mag,strike1,dip1,rake1,m1,m2,m3,m4,m5,m6
flegrei_2018_09_18_21_36_41,40.8159862758,14.1140505544,4363.791579,1.3235,287.52782234167904,36.681438375251616,-141.35471366890474,-46500200000.0,65230700000.0,41637700000.0,24678600000.0,76492800000.0,-35024500000.0
flegrei_2023_06_11_06_44_25,40.8275606042,14.1152810504,3988.901608,1.70812,346.4366241149511,77.73278693321008,-105.9662448176439,-51916000000.0,-101853000000.0,305530000000.0,50498700000.0,-333505000000.0,25424800000.0
flegrei_2023_09_07_17_45_28,40.828275774,14.1185155904,3515.270652,2.02998,100.04880622700543,51.11052349355081,-51.35542173224679,-724641000000.0,1144700000000.0,250399000000.0,-175438000000.0,703832000000.0,270799000000.0
flegrei_2023_09_26_07_10_29,40.816223607,14.116232537,4148.274072,1.91907,129.65950350883043,22.056708214986216,-150.68520812886123,-34132900000.0,-116865000000.0,637790000000.0,-92657100000.0,-693654000000.0,-138794000000.0
flegrei_2023_10_02_20_08_26,40.8197798779,14.1255079207,4198.202639,2.11913,18.13276743447013,81.82816346556467,97.39945417999546,318513000000.0,810933000000.0,-574033000000.0,378492000000.0,1457220000000.0,-236135000000.0
flegrei_2024_04_27_03_44_56,40.8206323606,14.1288066919,2669.619366,2.14406,114.61208486173958,28.546636793088652,-162.02939191222023,-146551000000.0,-294958000000.0,1141220000000.0,-86598300000.0,-1499820000000.0,-665684000000.0
flegrei_2024_05_22_06_28_00,40.8292355725,14.1354734489,2785.666402,2.09343,136.69619918113122,22.33662680355643,-125.80643946457955,-229589000000.0,-310747000000.0,1311190000000.0,230988000000.0,-1057290000000.0,-543107000000.0
flegrei_2024_06_08_01_52_04,40.8247637772,14.1433973855,3272.972005,1.52743,145.14807301997425,32.891066992232766,57.20592498078293,145374000000.0,-37017300000.0,-189700000000.0,45672800000.0,118259000000.0,52927900000.0
flegrei_2024_06_18_01_58_24,40.8246880652,14.14507173,3472.214048,1.55241,345.2930946183198,63.87673509178686,-89.90109526432703,-235148000000.0,-20370600000.0,121813000000.0,35940400000.0,-137749000000.0,-40476800000.0
flegrei_2024_07_26_11_46_21,40.8238667004,14.1365455304,4462.55979,2.56225,331.93505277785323,79.67090414163337,-98.29776035481117,-2190760000000.0,-2467940000000.0,2775640000000.0,3025240000000.0,-6276830000000.0,-1830560000000.0
flegrei_2024_08_30_19_23_15,40.8320739113,14.1242836625,2871.735196,1.8831,87.73038659421317,11.599893704674098,-3.839933660222599,281166000000.0,185446000000.0,314842000000.0,41138800000.0,658866000000.0,139070000000.0
flegrei_2025_02_16_14_30_02,40.820040564,14.111585681,3861.273947,2.52795,305.375631390162,19.53093766340205,35.860305060913745,1825840000000.0,-2342660000000.0,-3032800000000.0,-1018090000000.0,-5947850000000.0,1692470000000.0
flegrei_2025_03_13_00_25_02,40.8267063678,14.1151292288,3124.78764,2.76595,317.5981234479755,16.859386659551276,-130.75546908424457,-11797200000000.0,-8682900000000.0,-682948000000.0,-11736500000.0,11635100000000.0,-2656660000000.0
