name,lat,lon,depth
flegrei_2015_10_07_09_10_50,40.825001,14.15033,1530.0
flegrei_2019_10_05_05_08_37,40.828171,14.1475,1910.0
flegrei_2022_11_30_02_34_39,40.828999,14.149,2380.0
flegrei_2022_12_28_02_35_57,40.819,14.145,430.0
flegrei_2023_04_15_05_54_37,40.814999,14.1563,2750.0
flegrei_2023_04_15_05_54_40,40.814499,14.1542,2360.0
flegrei_2023_08_18_00_01_28,40.818802,14.1505,560.0
flegrei_2023_08_18_04_09_59,40.826801,14.148,2550.0
flegrei_2023_09_20_22_54_29,40.815833,14.158167,2790.0
flegrei_2023_09_27_09_16_18,40.818667,14.142333,280.0
flegrei_2024_02_17_19_22_09,40.838333,14.110667,3190.0
flegrei_2024_03_10_17_15_06,40.8205,14.144667,310.0
flegrei_2024_05_10_11_25_52,40.811333,14.1035,2440.0
flegrei_2024_05_10_11_26_10,40.811,14.1145,2170.0
flegrei_2024_05_20_22_55_54,40.818167,14.144333,300.0
flegrei_2024_06_08_01_52_21,40.8295,14.144167,2080.0
flegrei_2024_06_08_02_10_16,40.828667,14.146667,2360.0
flegrei_2024_07_02_13_11_34,40.813333,14.155667,2890.0
flegrei_2024_07_02_13_13_45,40.8135,14.158,2850.0
flegrei_2024_07_02_13_14_02,40.811667,14.154,2930.0
flegrei_2024_08_17_21_33_32,40.817833,14.144333,210.0
flegrei_2024_12_06_08_58_13,40.817667,14.142333,170.0
flegrei_2024_12_06_08_59_10,40.818333,14.1445,250.0
flegrei_2025_02_16_23_20_48,40.827167,14.149,1720.0
flegrei_2025_02_17_07_14_11,40.824333,14.138,1770.0
flegrei_2025_02_17_07_14_19,40.827667,14.148667,2270.0
flegrei_2025_02_17_11_26_32,40.825833,14.125167,2080.0
