name,lat,lon,depth,mag,strike1,dip1,rake1,m1,m2,m3,m4,m5,m6
flegrei_2018_09_18_21_36_41,40.827499,14.148,1373.456976,2.05404,133.2354189331844,89.43762727710667,-150.53478732954542,364116000000.0,-1272330000000.0,908210000000.0,-720541000000.0,142013000000.0,34058300000.0
flegrei_2019_03_15_04_26_41,40.828671,14.1485,3548.05991,2.72327,232.01065430089866,57.3612207975761,-57.75287722054742,-10652900000000.0,891071000000.0,9761830000000.0,6698760000000.0,-445257000000.0,6022050000000.0
flegrei_2019_12_06_00_17_23,40.83017,14.14933,2031.17981,2.63928,276.0949074905593,61.25366397223426,-43.62413888830354,-6052980000000.0,8188950000000.0,-2135970000000.0,2461070000000.0,-1662580000000.0,6422110000000.0
flegrei_2020_04_08_00_50_29,40.826672,14.143,1673.32514,2.11632,73.93957006654456,75.61862925107827,-58.14309039209227,-703847000000.0,112402000000.0,591445000000.0,-1311030000000.0,-8470360000.0,814758000000.0
flegrei_2020_04_26_02_41_13,40.829498,14.14817,4335.94159,2.71016,42.974997729139666,65.45040583971458,-63.404655594222355,-9057570000000.0,-757554000000.0,9815120000000.0,-7467720000000.0,-3615180000000.0,3421200000000.0
flegrei_2020_04_26_02_59_02,40.82917,14.15,4234.717955,2.99582,40.28658641472295,55.47236970269144,-66.86003540372285,-31386400000000.0,3947280000000.0,27439100000000.0,-15135400000000.0,-2783520000000.0,10462400000000.0
flegrei_2020_12_28_08_09_43,40.831329,14.14583,1832.832427,2.26706,130.53874274702378,57.20952603208982,-127.6602174012022,-2059520000000.0,19400100000.0,2040120000000.0,-1696990000000.0,-318478000000.0,-884274000000.0
flegrei_2022_03_16_14_14_34,40.8283,14.1352,3179.778061,3.32373,164.25305694267018,44.287305508228336,-91.5576654543112,-118266000000000.0,27992000000000.0,90273600000000.0,-1923480000000.0,-3283490000000.0,-17507900000000.0
flegrei_2022_03_29_17_45_32,40.8293,14.1507,2677.363064,2.7527,244.7155720052329,63.3753076620754,-124.73122957444438,-8363300000000.0,16226100000000.0,-7862790000000.0,5287390000000.0,1611800000000.0,102615000000.0
flegrei_2022_04_19_02_05_54,40.828201,14.1422,1424.115204,2.41109,143.2721384294478,69.34783966611928,-127.97512425358734,-2354840000000.0,-1202230000000.0,3557070000000.0,-3188840000000.0,1245090000000.0,28393800000.0
flegrei_2022_07_30_03_27_48,40.827301,14.1402,1513.736259,1.93351,83.18191541908044,60.534954111959465,-67.84965846930766,-745712000000.0,575494000000.0,170218000000.0,-458142000000.0,170011000000.0,313632000000.0
flegrei_2022_11_12_21_37_54,40.809799,14.1172,3660.501575,2.60153,261.1005615835282,54.84077027744613,-126.54437568434635,-6883880000000.0,7519880000000.0,-635994000000.0,2056530000000.0,3966490000000.0,-2853550000000.0
flegrei_2023_01_19_08_44_30,40.827202,14.1338,2850.328633,2.49231,73.08935843111878,54.22250575711786,-65.20282562903053,-5524750000000.0,3549840000000.0,1974920000000.0,-2322470000000.0,1257940000000.0,2694910000000.0
flegrei_2023_02_05_00_45_36,40.8032,14.1108,3755.565647,2.88801,106.06027585473542,56.442806540712674,-85.5650703510899,-25343700000000.0,16509800000000.0,8833900000000.0,-8049830000000.0,4216110000000.0,-1333250000000.0
flegrei_2023_03_04_13_15_20,40.831799,14.1247,4017.963339,2.45904,254.5940201557624,59.56267521219297,-112.38762033736182,-4637160000000.0,4647870000000.0,-10702700000.0,2061270000000.0,1994370000000.0,-469234000000.0
