station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CBAC,40.810901,14.08057,77.0,-1.0306469092474316e-06,-1.1558551195802791e-06,5.328628975954735e-07
CFMN,40.832942,14.090403,92.0,-8.765032686539641e-07,-2.0318200459496056e-07,1.1439711150611843e-06
CMIS,40.778154,14.089047,134.0,9.473970466556549e-07,-1.2536801461712181e-06,5.4254213458941703e-08
CNIS,40.79817,14.163176,50.0,-1.4600978796032597e-06,1.2248890953686142e-06,-1.415265782044657e-07
COLB,40.819016,14.144606,56.0,-3.4721417277329677e-06,4.157778992860122e-06,-1.2060950284439191e-06
CPIS,40.829224,14.146981,117.0,1.9281894674041348e-05,-1.1376752812023501e-05,-1.5766240359693914e-06
CPOZ,40.821072,14.11911,52.0,1.2762323104552555e-06,1.0004217628867084e-05,-3.4575000217927317e-06
CQUE,40.885355,14.155414,109.0,1.3782140967081285e-07,4.113391977876788e-07,2.294879236027993e-07
CSFT,40.829168,14.139635,151.0,-5.808721431517723e-06,-5.026138747483676e-06,5.981231824196637e-06
CSOB,40.826469,14.143963,223.0,-9.908933849783307e-06,-4.267613547889208e-06,2.4076850787139477e-07
CSTH,40.829447,14.149329,108.0,-1.0516711166208541e-05,3.792045301066315e-05,2.240774851167949e-06
