station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,0.00010507634847438883,0.00012405325984585173,6.906341439168889e-05
CBAC,40.810901,14.08057,77.0,6.210327212064863e-05,3.505221127978176e-05,-4.406778802804578e-05
CFMN,40.832942,14.090403,92.0,-6.281713784559798e-05,2.9899543534274575e-05,5.868753753373503e-05
CMIS,40.778154,14.089047,134.0,3.215294665231615e-06,-4.692221895554513e-05,1.0189445799404638e-05
CNIS,40.79817,14.163176,50.0,7.016615756412431e-05,-3.777506987394297e-05,3.0274967885900986e-05
COLB,40.819016,14.144606,56.0,0.0001238051034320096,0.00010443702611100628,6.650356343479869e-05
CPIS,40.829224,14.146981,117.0,8.805523401212486e-05,9.98125316856543e-05,1.9657323327220105e-05
CPOZ,40.821072,14.11911,52.0,-0.00011854014210028118,-0.0002491520418622318,-0.00014504054192231034
CQUE,40.885355,14.155414,109.0,-1.87589882910059e-05,2.546767883679725e-05,1.179248994351877e-06
CSFT,40.829168,14.139635,151.0,9.000346204730936e-05,0.00012550213668260392,3.544575655710926e-05
CSOB,40.826469,14.143963,223.0,9.830192127730335e-05,0.00012365764943303957,3.9554305284111705e-05
CSTH,40.829447,14.149329,108.0,9.079102811726178e-05,8.541483362889068e-05,2.2225806874236945e-05
