station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,3.4306059610436744e-06,2.326389148055554e-06,1.5717105013685813e-06
CBAC,40.810901,14.08057,77.0,2.4941520936545485e-06,4.852777656956241e-07,-1.5251232340831556e-06
CFMN,40.832942,14.090403,92.0,1.8855914544312633e-06,-9.43315138407181e-07,-2.166533544833551e-06
CMIS,40.778154,14.089047,134.0,-4.829486964048776e-07,2.101597446814506e-06,-1.0168526907030442e-07
CMSN,40.8382,14.1818,20.0,-1.5104498649662884e-06,-1.0246555137919915e-06,1.0443927048782168e-07
CNIS,40.79817,14.163176,50.0,-2.503560796757096e-06,-3.020062965848515e-07,-5.692471222162329e-07
COLB,40.819016,14.144606,56.0,3.208874720443302e-06,2.5436290227598535e-06,1.548823824729135e-06
CPIS,40.829224,14.146981,117.0,2.4810124909662637e-06,2.5637111156974676e-06,6.422697040163337e-07
CPOZ,40.821072,14.11911,52.0,-3.9755014887161085e-06,-6.002800667643205e-06,-3.587251838046964e-06
CQUE,40.885355,14.155414,109.0,7.412972105417509e-07,-5.517255484997044e-07,-1.2897551369796347e-07
CSFT,40.829168,14.139635,151.0,2.6985792641711803e-06,3.135261825449601e-06,9.620526818673059e-07
CSOB,40.826469,14.143963,223.0,2.6031414631030033e-06,2.999907462763166e-06,1.1055238900270046e-06
CSTH,40.829447,14.149329,108.0,2.6172979138343155e-06,2.143328614575916e-06,7.246935223534109e-07
