station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,5.0425150115749515e-05,6.882548837758679e-05,3.667326237782587e-05
CFMN,40.832942,14.090403,92.0,-4.087784227286492e-05,2.1106951431177974e-05,3.8726430905995674e-05
CMIS,40.778154,14.089047,134.0,-2.321140899775341e-06,-3.0257186411707852e-05,6.733752762387919e-06
CMSN,40.8382,14.1818,20.0,-2.811171661474448e-05,-2.241525296987228e-05,-1.8043153563994604e-07
CNIS,40.79817,14.163176,50.0,4.051711329792736e-05,-2.6875576246899162e-05,1.8841244019402542e-05
COLB,40.819016,14.144606,56.0,6.535522909699233e-05,5.024289257576825e-05,3.552268038737431e-05
CPIS,40.829224,14.146981,117.0,4.4547069213755785e-05,5.191273394519054e-05,1.2039410146198447e-05
CPOZ,40.821072,14.11911,52.0,-8.196833969476903e-05,-0.00013776385478934727,-8.742192816485022e-05
CQUE,40.885355,14.155414,109.0,1.3205064438107407e-05,-1.2660023984280903e-05,-1.4333051632760242e-06
CSFT,40.829168,14.139635,151.0,4.828842333757967e-05,6.178652123525297e-05,2.044701652707583e-05
CSOB,40.826469,14.143963,223.0,5.168112985523318e-05,6.137455562539996e-05,2.2834248440914866e-05
CSTH,40.829447,14.149329,108.0,4.804279179851508e-05,4.241738684026688e-05,1.3107303076119226e-05
