station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CBAC,40.810901,14.08057,77.0,-2.584140623395358e-06,-1.4508578628352767e-06,1.3534603652865768e-06
CFMN,40.832942,14.090403,92.0,-2.0907952888204723e-06,6.330912969783756e-07,1.92932246723369e-06
CMIS,40.778154,14.089047,134.0,5.731293384140323e-07,1.4171511058372965e-06,-2.5493313970912277e-07
CNIS,40.79817,14.163176,50.0,-1.2981962475677289e-06,2.8332671135463914e-06,2.27818920403557e-07
COLB,40.819016,14.144606,56.0,-2.9654223745399315e-06,-4.860920778517049e-06,2.3467163990131652e-07
CPIS,40.829224,14.146981,117.0,3.971978359365531e-05,-1.680262526375137e-05,0.0001063128803381643
CPOZ,40.821072,14.11911,52.0,1.06819658616901e-06,-1.118251055689357e-06,2.491129069803249e-06
CSFT,40.829168,14.139635,151.0,-3.721066805409551e-06,1.7243433159324141e-06,5.482980494607103e-06
