station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,-2.0609158404583167e-07,-2.307046431319818e-06,3.5998402910352836e-06
CBAC,40.810901,14.08057,77.0,-1.5241965792297904e-06,-9.837233571209374e-07,8.699330159515033e-07
CFMN,40.832942,14.090403,92.0,-1.4958816045204714e-06,6.508253755662556e-07,1.41599302212675e-06
CMIS,40.778154,14.089047,134.0,1.194497857324578e-07,-8.819040275793215e-07,7.023325550891253e-08
CMSN,40.8382,14.1818,20.0,-1.0301844635040532e-06,7.24094747748331e-07,-4.396182487315453e-07
CNIS,40.79817,14.163176,50.0,-2.7367854371756986e-06,2.779860053454594e-06,-9.774696179624553e-07
COLB,40.819016,14.144606,56.0,-2.0157593932562484e-07,-3.1425853810634534e-06,5.327897082699236e-06
CPOZ,40.821072,14.11911,52.0,1.0265126964224576e-06,-4.94564482171876e-07,1.4659985102041279e-06
CQUE,40.885355,14.155414,109.0,-6.943879757503278e-07,-8.989270258688227e-07,4.846896868015385e-08
CSFT,40.829168,14.139635,151.0,-1.3749735046588468e-06,4.976311926325051e-07,2.1702538753911783e-06
CSOB,40.826469,14.143963,223.0,-3.120782728187047e-07,4.89513817938331e-07,4.000326524407795e-06
CSTH,40.829447,14.149329,108.0,5.963000315544469e-07,-4.591443414757456e-07,4.821729898105855e-06
