station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,-8.614739403157342e-07,-3.2418285270181806e-06,1.9495219615600354e-06
CBAC,40.810901,14.08057,77.0,-1.1148087309724923e-06,-4.637881607214086e-07,6.222414632189551e-07
CFMN,40.832942,14.090403,92.0,-9.566172288451071e-07,3.835705909185872e-07,9.610582908328152e-07
CMIS,40.778154,14.089047,134.0,-2.6075386684054287e-07,1.805043765219028e-06,-1.1083802506345985e-07
CMSN,40.8382,14.1818,20.0,9.162233168858113e-07,4.247673593177684e-07,-5.465533983666518e-08
CNIS,40.79817,14.163176,50.0,-1.1936374458169295e-09,2.138677710080988e-06,-3.013435926274803e-07
COLB,40.819016,14.144606,56.0,-6.21471976918571e-08,4.175850715732739e-06,-1.8305596269264107e-06
CPIS,40.829224,14.146981,117.0,1.0922639430113786e-05,-5.623086560342414e-06,2.78667776858914e-05
CPOZ,40.821072,14.11911,52.0,-1.578633313421088e-06,-2.3055239388545152e-06,7.543700535511893e-07
CSFT,40.829168,14.139635,151.0,-2.260953152419987e-06,-7.671031633910814e-07,3.945542458002813e-06
CSOB,40.826469,14.143963,223.0,-2.75310356114332e-05,-9.894232218547814e-06,3.189833473152793e-07
CSTH,40.829447,14.149329,108.0,-0.0003519770953212951,0.00014954704678022003,2.578960792709886e-06
