station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,-5.224322351566204e-06,-1.4212892208547816e-05,1.208886468108889e-05
CBAC,40.810901,14.08057,77.0,-1.0405139946215726e-05,-6.801484370116788e-06,5.900800949226253e-06
CFMN,40.832942,14.090403,92.0,-9.882088741094969e-06,3.956886914965278e-06,9.380863277980984e-06
CMIS,40.778154,14.089047,134.0,7.419943313781921e-07,-6.22919024665976e-06,5.807283767207259e-07
CMSN,40.8382,14.1818,20.0,6.4190336695468715e-06,1.9504061699440663e-06,2.3147810525806992e-06
CNIS,40.79817,14.163176,50.0,-1.480347051899958e-05,1.7841433679917113e-05,-4.611935816428879e-06
CPOZ,40.821072,14.11911,52.0,6.682555291888749e-06,-4.4015106264838205e-06,1.008891528077981e-05
CQUE,40.885355,14.155414,109.0,5.858330003631223e-06,-3.018731381648832e-07,-2.086452698471912e-06
CSFT,40.829168,14.139635,151.0,-6.669318959427024e-05,-1.6067090362767e-05,2.4528061528657782e-05
