station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,7.890977971215098e-07,-4.2567750669508057e-07,-5.85846956558636e-07
CBAC,40.810901,14.08057,77.0,1.1521445237625306e-06,2.3108251444836852e-07,-6.597260676458163e-07
CFMN,40.832942,14.090403,92.0,9.215392383683298e-07,-8.557614771783183e-07,-1.3178957474476858e-06
CMIS,40.778154,14.089047,134.0,1.1935991094240577e-06,-4.925066071085636e-07,-3.168539780131816e-07
CNIS,40.79817,14.163176,50.0,-6.196589818136459e-07,7.412431897349504e-07,-4.3823339010797107e-07
COLB,40.819016,14.144606,56.0,-7.355865863885155e-07,3.8095385396316924e-07,5.958466252402339e-07
CPIS,40.829224,14.146981,117.0,9.520305483837388e-07,-3.6142991844504884e-07,-5.160676244068345e-07
CPOZ,40.821072,14.11911,52.0,2.056278933538221e-06,-1.063764776855912e-06,-5.410890404471849e-08
CQUE,40.885355,14.155414,109.0,-4.801850723583808e-07,-5.797874276008537e-08,4.441437462043325e-08
CSFT,40.829168,14.139635,151.0,1.192621569981894e-06,-3.221243023661386e-07,-3.1365021544298467e-07
CSOB,40.826469,14.143963,223.0,5.948576815773054e-06,2.388731590052961e-06,-1.1696571680265363e-07
CSTH,40.829447,14.149329,108.0,-3.232183373469009e-07,-4.335962386557264e-07,-9.567445416759253e-07
