station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,1.0383297059628386e-05,1.6847113462672976e-05,7.70864855789178e-06
CBAC,40.810901,14.08057,77.0,7.577804860604836e-06,3.6005480830063846e-06,-4.87582432740605e-06
CFMN,40.832942,14.090403,92.0,-6.547138010401394e-06,3.181926253243457e-06,6.036000395750296e-06
CMIS,40.778154,14.089047,134.0,-8.584863315442858e-07,-5.254927428330228e-06,1.1014692353703265e-06
CMSN,40.8382,14.1818,20.0,-4.920513215417675e-06,-4.698094590163129e-06,4.13907910952773e-07
CNIS,40.79817,14.163176,50.0,7.853877644061305e-06,-3.931510224372255e-06,3.3235199851685223e-06
COLB,40.819016,14.144606,56.0,1.4234248621234981e-05,1.2806110765787043e-05,7.631464466729138e-06
CPOZ,40.821072,14.11911,52.0,-1.3205055480081229e-05,-3.0031885639407484e-05,-1.5930782816641857e-05
CQUE,40.885355,14.155414,109.0,1.524159010648097e-06,-3.1801852238117294e-06,4.0475489318624156e-07
CSFT,40.829168,14.139635,151.0,1.0469381092762694e-05,1.5153269983197054e-05,3.7884451871237216e-06
CSOB,40.826469,14.143963,223.0,9.191075248696035e-06,1.4436663957899445e-05,4.550834189935491e-06
CSTH,40.829447,14.149329,108.0,1.0688246413074237e-05,1.0695841201383761e-05,2.5026778621269005e-06
