station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,-5.116520056484879e-06,-1.0912263810183042e-05,8.17213167912782e-06
CBAC,40.810901,14.08057,77.0,-7.044402578687841e-06,-4.619780455715235e-06,4.032530168344762e-06
CFMN,40.832942,14.090403,92.0,-6.729777266591438e-06,2.6914098151197106e-06,6.413788575222865e-06
CMIS,40.778154,14.089047,134.0,3.8739381158885803e-07,-4.3095653611896475e-06,4.2535569424470887e-07
CNIS,40.79817,14.163176,50.0,-9.82845701240648e-06,1.2186752020064864e-05,-3.0600017021321854e-06
COLB,40.819016,14.144606,56.0,-4.0697122729440346e-05,-3.614429685172869e-05,9.665559188274486e-06
CPOZ,40.821072,14.11911,52.0,4.380293028180836e-06,-3.002151762835556e-06,6.906865137654061e-06
CQUE,40.885355,14.155414,109.0,3.883619205159155e-06,-3.0008387959440575e-07,-1.4024487739832067e-06
CSFT,40.829168,14.139635,151.0,-1.6289631114909762e-05,-4.4827589732449634e-06,1.124288110477232e-05
