station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,-1.1195854285659642e-06,1.0994319228873064e-06,-3.1073973245734313e-07
CBAC,40.810901,14.08057,77.0,-2.562158844038827e-06,1.2632040929253276e-06,7.140048871883491e-07
CFMN,40.832942,14.090403,92.0,-1.8088417042795175e-06,-7.226464137788131e-07,2.7093756095862897e-06
CMIS,40.778154,14.089047,134.0,-4.6662566981877694e-07,1.4996116385548558e-06,6.936710284699151e-08
CMSN,40.8382,14.1818,20.0,1.0097366406589067e-06,2.5922609801781036e-07,1.5069815518062477e-07
CNIS,40.79817,14.163176,50.0,3.5521599470347505e-07,-1.664601252093515e-06,5.54531665488134e-07
COLB,40.819016,14.144606,56.0,1.5332108710031985e-07,1.6445009203163279e-06,4.783864513877018e-06
CPIS,40.829224,14.146981,117.0,1.0491500752685589e-06,1.5658659835594412e-06,-1.6122643791328494e-08
CPOZ,40.821072,14.11911,52.0,-1.0564927784106693e-06,4.436680231660138e-06,-1.9759550932833485e-06
CQUE,40.885355,14.155414,109.0,1.5820256365478665e-06,-8.707998535332602e-07,-5.858120511350272e-08
CSFT,40.829168,14.139635,151.0,-1.6229416633755323e-06,-7.901803600892658e-07,4.6415979645133896e-08
CSOB,40.826469,14.143963,223.0,2.0638683674290643e-05,8.7348504940732e-06,-5.735038705225594e-07
CSTH,40.829447,14.149329,108.0,-1.908268208778008e-06,-4.195090363884376e-07,1.982630519147519e-08
