station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CBAC,40.810901,14.08057,77.0,2.8754932067326335e-06,7.216983666336116e-07,-1.5733013493958487e-06
CFMN,40.832942,14.090403,92.0,2.204763725716084e-06,-1.9246519384272044e-06,-2.7317933858329242e-06
CMIS,40.778154,14.089047,134.0,2.7041986998552914e-07,-2.3415670796951166e-06,1.490562743033207e-07
CNIS,40.79817,14.163176,50.0,-1.603695044951113e-06,2.116523276454742e-06,-1.104239889762873e-06
COLB,40.819016,14.144606,56.0,2.775644212321121e-06,-3.414134140356824e-07,-8.298234475866882e-07
CPIS,40.829224,14.146981,117.0,2.516593161939328e-06,-5.09856467931365e-07,-1.328517550766505e-06
CPOZ,40.821072,14.11911,52.0,5.741217077078257e-06,-1.377015684347511e-06,1.4575126782754353e-06
CQUE,40.885355,14.155414,109.0,9.653957717154518e-07,-5.572444346363265e-07,-1.2873707654642255e-07
CSFT,40.829168,14.139635,151.0,3.204155695160541e-06,-2.1435811257232375e-07,-1.3502566592956382e-06
CSOB,40.826469,14.143963,223.0,-4.204618032261289e-06,-1.2379669117294908e-06,-6.912099624792616e-09
CSTH,40.829447,14.149329,108.0,-6.256360321541461e-07,-1.1043335336044323e-06,-2.3021426982528186e-06
