station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,5.168085995339961e-07,-2.949187519623964e-06,-2.2802114999564794e-06
CBAC,40.810901,14.08057,77.0,2.957055119344596e-06,1.0783380618821283e-06,-1.6965078267473893e-06
CFMN,40.832942,14.090403,92.0,-6.791810634351037e-06,9.21830394059555e-07,1.5686307535528052e-06
CMIS,40.778154,14.089047,134.0,8.569662785342394e-07,-2.4773821750998284e-06,-2.9127736885561745e-07
CMSN,40.8382,14.1818,20.0,1.6268733069211494e-06,1.0009756449669599e-06,4.1148278122910654e-07
CNIS,40.79817,14.163176,50.0,-2.0448786324845953e-06,6.528032384749293e-07,-1.0662215304826491e-06
COLB,40.819016,14.144606,56.0,5.077286011879747e-07,1.7109390312298524e-06,3.009797778588282e-06
CPOZ,40.821072,14.11911,52.0,1.1953037217484644e-06,-7.75642325639286e-06,-2.022292481294399e-06
CSFT,40.829168,14.139635,151.0,1.9963833620408554e-06,3.7140537471040527e-06,1.6953268418834837e-06
CSOB,40.826469,14.143963,223.0,1.2058676373223816e-06,2.9310017697154044e-06,2.1259035652345802e-06
CSTH,40.829447,14.149329,108.0,-7.944059303721046e-07,-2.124602790056426e-06,-1.7338487478081985e-06
