station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,3.7399443384607226e-05,3.804688465551075e-05,1.3139405913175226e-05
CBAC,40.810901,14.08057,77.0,0.00201372713095097,7.671010450760312e-06,-3.03637292634786e-06
CFMN,40.832942,14.090403,92.0,2.7193585330607065e-05,-1.8613242486655602e-05,-3.342760495770862e-05
CMIS,40.778154,14.089047,134.0,-3.4363636982204607e-06,1.3752459958387377e-05,-3.437909987963177e-06
CMSN,40.8382,14.1818,20.0,-2.167983990322602e-05,-1.6063324048954006e-05,-2.832925333198697e-07
CNIS,40.79817,14.163176,50.0,2.408001864563655e-05,-2.2483804932805385e-05,1.3313503188334393e-05
COLB,40.819016,14.144606,56.0,4.633290835312497e-05,2.550927696748662e-05,1.3903710482942787e-05
CPIS,40.829224,14.146981,117.0,3.465015111272601e-05,2.76309704880844e-05,2.2601118807056264e-06
CPOZ,40.821072,14.11911,52.0,-7.420814319273702e-05,-6.227370227145544e-05,-3.543093275392254e-05
CQUE,40.885355,14.155414,109.0,-1.2334642321189409e-05,7.537265660628344e-06,9.414609638973308e-07
CSFT,40.829168,14.139635,151.0,3.5886038084456895e-05,3.230368182200182e-05,6.351200934359746e-06
CSOB,40.826469,14.143963,223.0,3.977595535041284e-05,3.161313991584737e-05,6.975044312205582e-06
CSTH,40.829447,14.149329,108.0,3.48134778165319e-05,2.34061832317241e-05,5.467531512224854e-06
