station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CBAC,40.810901,14.08057,77.0,-1.2630252635701329e-06,-8.616308310288374e-07,7.241075396894497e-07
CFMN,40.832942,14.090403,92.0,-1.1719884670259638e-06,4.627816376337089e-07,1.135559840212245e-06
CMIS,40.778154,14.089047,134.0,-4.148951343601319e-08,-1.085624199443966e-06,9.977374091021638e-08
CNIS,40.79817,14.163176,50.0,-1.984090013915609e-06,2.5864138150571757e-06,-5.817211198747728e-07
COLB,40.819016,14.144606,56.0,1.3301356157887091e-06,5.400428378392318e-06,-2.196375926298802e-06
CPIS,40.829224,14.146981,117.0,9.872386136722819e-05,1.977761226620037e-05,5.922976110767168e-05
CPOZ,40.821072,14.11911,52.0,7.818578119926543e-07,-5.195051410593759e-07,1.1865788772681538e-06
CSFT,40.829168,14.139635,151.0,-3.984784476318032e-06,-1.3083829613557796e-06,2.8004358435353646e-06
CSOB,40.826469,14.143963,223.0,9.023586923736911e-08,-3.496584518296415e-05,2.330592272793504e-06
CSTH,40.829447,14.149329,108.0,-4.820374871120133e-07,0.0001011009534449227,1.969310218962251e-06
