station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,0.00024456211837135084,0.00017370696446615064,0.00012470278786783158
CBAC,40.810901,14.08057,77.0,0.0019547854971955175,0.0011615148325758986,-0.0023093432821305734
CFMN,40.832942,14.090403,92.0,0.0003917687464745791,0.00023471511413160356,1.0402199669895035e-05
CMIS,40.778154,14.089047,134.0,0.00039193069947897043,8.250849040169967e-05,7.624400893607163e-07
CMSN,40.8382,14.1818,20.0,-0.00010421229658848937,-8.4910321549041e-05,-3.7127862641498795e-06
CNIS,40.79817,14.163176,50.0,0.00016185082530974928,-9.613276133951768e-05,7.64513909765172e-05
COLB,40.819016,14.144606,56.0,0.00022707410250633398,0.00018712613512706673,0.00012541674738952266
CPIS,40.829224,14.146981,117.0,0.00014714251040596305,0.00018046582433584084,3.5270090412208996e-05
CPOZ,40.821072,14.11911,52.0,0.0002054976377076921,-0.00040097097865963993,0.0003292291503587731
CQUE,40.885355,14.155414,109.0,5.0433347118231304e-05,-4.7418934201877734e-05,-5.900236081055564e-06
CSFT,40.829168,14.139635,151.0,0.00015987307374880203,0.0002338452714203005,5.8027713515277066e-05
CSOB,40.826469,14.143963,223.0,0.0001718902137520722,0.0002231037564078366,7.006447624084862e-05
CSTH,40.829447,14.149329,108.0,-9.470253850783056e-05,-0.00014673960324604552,-0.00014519804415178786
