station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,-4.152383566904804e-06,-1.3496474522371342e-05,1.348024303536014e-05
CBAC,40.810901,14.08057,77.0,-1.4678352351520366e-05,-7.880554342414458e-06,7.5846204923772824e-06
CFMN,40.832942,14.090403,92.0,-1.1963173848537339e-05,3.792962682436918e-06,1.0987070881535525e-05
CMIS,40.778154,14.089047,134.0,8.255205913909806e-07,-8.946309228185549e-06,1.1546056965256403e-06
CMSN,40.8382,14.1818,20.0,-1.46161579379274e-05,-7.4790301605240364e-06,-1.647227336854875e-06
CNIS,40.79817,14.163176,50.0,-7.4934873397907004e-06,1.8186079282752128e-05,2.0306738214113968e-07
COLB,40.819016,14.144606,56.0,-0.0001017792717029572,-3.10397145996149e-05,2.2543249490320904e-05
CPOZ,40.821072,14.11911,52.0,5.82250645760984e-06,-5.1995920433585094e-06,1.3915895693440871e-05
CQUE,40.885355,14.155414,109.0,-4.55073888577867e-06,1.352850871839321e-05,1.515297946405331e-06
CSFT,40.829168,14.139635,151.0,0.0007848158593074453,0.0018119288447912098,-6.397173201891482e-05
CSOB,40.826469,14.143963,223.0,-0.0015632389586767103,0.0003677104335424769,-0.0014507866622242567
CSTH,40.829447,14.149329,108.0,-0.001426674873985348,-0.00024005971107019994,-0.002351720258998263
