station_name,latitude,longitude,elevation[m],d_east[m],d_nord[m],d_z[m]
CAAM,40.820065,14.142049,170.0,5.8990057243883125e-05,0.00010204375361195066,4.566576453978499e-05
CBAC,40.810901,14.08057,77.0,4.636220910698458e-05,2.2417050010826154e-05,-3.090344341342382e-05
CFMN,40.832942,14.090403,92.0,-4.2478020467406086e-05,2.0666721332116673e-05,3.994280761876998e-05
CMIS,40.778154,14.089047,134.0,2.3881927278127495e-06,-3.0033075659534744e-05,7.310540940380725e-06
CNIS,40.79817,14.163176,50.0,4.6853980735924025e-05,-2.6464240906472023e-05,2.090839030128783e-05
COLB,40.819016,14.144606,56.0,8.545912505595105e-05,7.857630398107595e-05,4.528075765767962e-05
CPIS,40.829224,14.146981,117.0,6.574932493094517e-05,7.718159078046241e-05,1.3493313215715032e-05
CPOZ,40.821072,14.11911,52.0,-8.414299593308613e-05,-0.00017722757916538998,-9.494826045130308e-05
CQUE,40.885355,14.155414,109.0,1.536908876566743e-05,-1.4736618471712333e-05,-1.2045735626259926e-06
CSFT,40.829168,14.139635,151.0,6.465324491895566e-05,9.235927921726166e-05,2.3633412100353823e-05
CSOB,40.826469,14.143963,223.0,6.9594094616842e-05,9.237677890409174e-05,2.7711871064130073e-05
CSTH,40.829447,14.149329,108.0,6.679874464651381e-05,6.510967523781159e-05,1.587701108897373e-05
