name,lat,lon,depth
flegrei_2022_11_12_21_37_54,40.809799,14.1172,-3660.501575
flegrei_2023_08_27_21_14_23,40.801998,14.1142,-3529.743809
flegrei_2023_09_26_06_31_43,40.8075,14.106667,-3585.170621
flegrei_2023_09_26_07_10_29,40.805833,14.108,-3804.660127
flegrei_2024_01_21_09_35_04,40.806333,14.106667,-4129.33741
flegrei_2024_02_17_18_09_50,40.811333,14.0975,-3809.138613
flegrei_2024_04_06_11_59_31,40.803667,14.1145,-3528.02431
flegrei_2024_04_27_03_44_56,40.8085,14.094,-3317.272782
flegrei_2024_05_22_06_28_00,40.8085,14.107667,-4330.386578
flegrei_2024_07_26_11_46_21,40.805667,14.098333,-3620.857343
flegrei_2025_02_16_14_30_02,40.809667,14.105667,-3549.478036
