name,lat,lon,depth
flegrei_2022_03_16_14_14_34,40.8283,14.1352,3179.778061
flegrei_2023_05_08_02_28_34,40.827702,14.1402,3338.307887
flegrei_2023_06_15_15_39_40,40.831501,14.1402,3240.938159
flegrei_2023_08_18_04_18_05,40.831501,14.1375,2388.347237
flegrei_2023_08_18_04_22_49,40.8297,14.1387,2032.579895
flegrei_2023_09_22_09_01_59,40.8315,14.143167,2011.982587
flegrei_2023_09_29_21_57_58,40.8265,14.139667,3267.552653
flegrei_2023_10_04_08_46_55,40.8295,14.134167,3433.168211
flegrei_2023_11_23_18_41_46,40.8315,14.133333,3147.387244
flegrei_2024_04_14_07_44_24,40.828167,14.137333,2134.269031
flegrei_2024_04_14_08_01_43,40.829,14.138167,2234.559404
flegrei_2024_04_14_08_08_31,40.8285,14.137833,1863.145189
flegrei_2024_05_20_18_10_03,40.827333,14.1375,3259.076558
flegrei_2024_05_20_19_46_14,40.829667,14.136167,3322.046607
flegrei_2024_05_25_01_03_23,40.8295,14.140167,2914.101501
