name,lat,lon,depth
flegrei_2020_04_08_00_50_29,40.826672,14.143,-1673.32514
flegrei_2022_04_19_02_05_54,40.828201,14.1422,-1424.115204
flegrei_2022_07_30_03_27_48,40.827301,14.1402,-1513.736259
flegrei_2023_10_16_10_36_21,40.825,14.142167,-1174.682191
flegrei_2024_06_08_02_09_03,40.830667,14.149,-1285.675587
flegrei_2025_02_12_22_27_14,40.831333,14.149,-1870.223014
flegrei_2025_02_13_22_18_28,40.831333,14.146167,-1821.793221
flegrei_2025_02_17_16_53_24,40.827833,14.1435,-1642.533447
flegrei_2025_02_17_17_55_35,40.826333,14.141833,-1160.894563
flegrei_2025_02_17_20_23_44,40.828,14.142833,-1866.736465
flegrei_2025_02_19_03_04_15,40.828,14.146167,-1853.117614
flegrei_2025_02_19_14_55_11,40.828167,14.142,-1562.714482
