event_name,latitude,longitude,strike,dip,rake,magnitude,depth
flegrei_2023_10_02_20_08_26,40.830667,14.15,93.67992757923076,37.310368261053945,-27.304469505449546,3.354891461266032,3858.9144532799687
flegrei_2024_07_26_11_46_21,40.805667,14.098333,104.04349755145316,28.28185859834779,-136.28956619877815,3.593883891551963,3830.717059506972
flegrei_2024_04_27_03_44_56,40.8085,14.094,108.20720985927908,39.28214022943526,-160.19710501865072,3.2976916624084787,2610.133639276628
flegrei_2024_05_20_18_10_03,40.827333,14.1375,271.31355206175647,57.854763976231254,-60.05722572588341,3.8240530237856767,3073.5677333590993
flegrei_2023_09_07_17_45_28,40.831299,14.1465,269.0705667001391,50.50233782856601,-67.76192566155412,3.4141084580704,3169.0461678524907
flegrei_2023_09_27_01_35_34,40.819167,14.159,13.697796333232363,81.26042951531798,-96.77817591823063,3.527310096758077,4443.382772734147
flegrei_2024_05_20_19_46_14,40.829667,14.136167,271.1392569267557,48.789044016924905,-73.68663328170045,3.830217035624603,3054.1521775821725
flegrei_2024_06_08_02_09_03,40.830667,14.149,62.86333029913437,47.28817124772657,-30.590485820640296,2.787399358324018,1285.6755867015027
flegrei_2024_06_08_01_52_04,40.829833,14.144,233.16113587631054,67.98783299684871,-109.80166419857237,2.5317412633552543,2105.918831255114
flegrei_2024_05_20_21_00_55,40.822667,14.124333,53.865146793237415,51.54232180253358,-78.42405723550938,2.964214501989529,2713.7195691732445
flegrei_2024_08_30_19_23_15,40.828167,14.1445,26.752251866031386,63.425980594431834,96.46603929580888,2.7202198424647097,1605.728854751776
flegrei_2024_05_10_11_25_52,40.811333,14.1035,132.278882452592,36.620142325294516,77.52602743324957,2.5395447183272015,1207.027294200892
flegrei_2023_05_08_02_28_34,40.827702,14.1402,226.71459097632797,59.39568734221368,-108.65154600954473,2.9458386567151233,3338.3078866073256
flegrei_2024_07_18_06_08_37,40.831,14.150667,76.33504298344124,48.94520154347994,-72.52247301015193,2.868325068925868,2234.6934473223578
flegrei_2023_10_16_10_36_21,40.825,14.142167,34.42635502254035,45.0337308119871,-50.24606086424345,2.5446353532934047,1174.6821906522628
flegrei_2024_05_22_06_28_00,40.8085,14.107667,73.99974831706699,58.39518731752029,-126.01249469049282,3.361223576369591,4330.3865783028405
flegrei_2022_03_16_14_14_34,40.8283,14.1352,164.25303598434851,44.28730419297898,-91.55767129366812,3.3237253369088453,3179.778060911776
flegrei_2023_09_26_07_10_29,40.805833,14.108,90.30452374966839,40.349077513836,-121.60926625826473,3.2041524772904886,3804.6601269203934
flegrei_2023_06_11_06_44_25,40.834301,14.1102,299.57606902103674,59.77769064939649,-47.27238729512857,2.9259959588298816,3554.1665242567956
flegrei_2023_08_18_04_18_05,40.831501,14.1375,88.49746271532561,40.92077963026231,-58.5859094853645,3.2050075274869076,2388.3472368007747
flegrei_2022_03_29_17_45_32,40.8293,14.1507,244.71556023304538,63.375307539553155,-124.73124694441653,2.752703517213238,2677.3630642785974
flegrei_2024_06_18_01_58_24,40.832,14.084333,254.52937383760496,35.64349208103962,7.366197264641793,2.3710988282871774,2428.1113704048416
flegrei_2024_04_14_07_44_24,40.828167,14.137333,276.4234042525878,60.979921258786945,-87.76084244514576,3.0709190567061686,2134.2690313703024
flegrei_2020_04_26_02_59_02,40.82917,14.15,40.286639328735916,55.47240062223015,-66.86000231179987,2.9958189123868983,4234.717954964502
flegrei_2024_05_20_17_51_14,40.838667,14.128833,246.39258730269685,53.757170277743434,-121.19537881978688,3.2397181904464336,4066.2141141276534
flegrei_2023_08_18_04_22_49,40.8297,14.1387,100.58604227589967,59.28014646555656,-83.01786819236956,2.6490875324933505,2032.5798947353628
flegrei_2019_12_06_00_17_23,40.83017,14.14933,276.09490525430385,61.25366357077399,-43.62414275335674,2.639281595327356,2031.1798100016113
flegrei_2024_05_07_01_47_54,40.826,14.145,55.89874769589271,57.37349705726429,-113.74026311134557,2.429396393085735,1313.647894500197
flegrei_2023_06_15_15_39_40,40.831501,14.1402,261.5909924710917,52.97564684276931,-98.91966757870817,2.6200967333134297,3240.938159412334
flegrei_2024_03_03_09_01_59,40.816,14.152167,105.30307986442573,55.57604314839956,-117.7995609703033,2.958106915446697,3894.7612981436796
flegrei_2023_09_12_02_28_50,40.828,14.139167,34.23891470385254,55.23649902265614,-65.06683409556084,2.2102020070658615,1751.935768054349
flegrei_2024_05_18_04_30_55,40.835333,14.143333,263.89067208350104,70.2252933369605,-91.37827482424757,2.588721056369698,3349.066618702316
flegrei_2024_07_02_13_10_14,40.815,14.1555,39.01374436073578,34.018660792896725,119.95011616126834,2.4120761627547687,1842.5640811107924
flegrei_2024_07_02_13_13_45,40.811333,14.1035,158.8426322499059,58.44319794566482,-99.86487636155776,2.6974229118729003,3769.938288953968
flegrei_2024_05_20_22_55_54,40.827702,14.1402,118.69856195757569,65.02266674556206,-68.31095290226334,2.016305231859045,1316.1335379367786
flegrei_2023_11_23_18_41_46,40.8315,14.133333,272.3425615261825,64.55932360422914,-95.49344062624651,2.6021264918295834,3147.3872438796843
flegrei_2023_03_13_22_40_53,40.8358,14.1402,268.33309982233703,52.9771214372292,-94.45149503896609,2.5074719831124934,2650.13579478589
flegrei_2024_05_20_19_55_37,40.822833,14.125667,81.21987873226726,59.137179525786074,-107.53695683417125,2.847055080849186,2965.6758041152602
flegrei_2024_05_07_03_53_22,40.827,14.144167,56.20817961390847,54.186551421351425,-96.48426045432352,2.5245219129528937,1268.0260135342314
flegrei_2023_04_10_03_54_45,40.835701,14.1417,261.6846151357036,57.84178241384559,-83.50177767866684,2.6576673509581035,3382.141648118245
flegrei_2023_09_27_09_16_18,40.8283,14.1352,119.87748894258806,48.29478893158843,-15.209234417597232,1.759542264876286,1172.4683297210042
flegrei_2023_08_18_04_09_59,40.826801,14.148,247.039696650343,44.303795316379755,-27.17368191000121,2.6709540760101085,2523.7745329760164
flegrei_2022_04_19_02_05_54,40.828201,14.1422,143.27214787189268,69.34783966412944,-127.97512940614715,2.4110918563033703,1424.1152039192878
flegrei_2024_05_13_01_30_20,40.832333,14.092,67.62883619186255,71.44452699474542,-0.7546112731719818,2.7332932936357786,3524.1868208463143
flegrei_2023_02_05_00_45_36,40.8032,14.1108,106.06023545428178,56.44277988700319,-85.56505928333618,2.888011848674463,3755.56564673465
flegrei_2023_10_01_13_33_09,40.832833,14.135667,266.6939999401055,59.28083032629444,-84.57056415539526,2.677690510128313,3039.0863465565462
