event_name,latitude,longitude,strike,dip,rake,magnitude,depth
flegrei_2023_08_18_04_22_49,40.8297,14.1387,221.58040519235837,45.40099625815318,-89.47921507611724,2.6601743951632564,2429.7087693806166
flegrei_2023_10_02_20_08_26,40.830667,14.15,73.3190358763845,57.86862406858955,-57.810684960449116,2.7639263335154407,1683.5695645804153
flegrei_2019_12_06_00_17_23,40.83017,14.14933,249.8758953040821,74.09981205943787,-14.246742103566312,2.4675475810782483,1743.5166670328827
flegrei_2018_09_18_21_36_41,40.827499,14.148,247.40122329454636,53.894430522926896,51.18766876136053,2.3290426158005157,2637.590139570331
flegrei_2024_06_08_02_09_03,40.830667,14.149,42.708732318359196,51.647606276856195,-72.48413661318799,2.8421771486609835,1581.5609776259319
flegrei_2024_07_26_11_46_21,40.805667,14.098333,296.0867811119582,40.4108609729664,-164.9611780397915,3.955397050930541,6862.630853513066
flegrei_2022_07_30_03_27_48,40.827301,14.1402,35.21756627425896,65.26959476553387,-82.80018127050747,2.005441579502463,1652.87569665869
flegrei_2019_10_05_05_08_37,40.828171,14.1475,49.07176006997975,39.299055929762766,127.91247066478725,2.358889623154118,2085.9418724419506
flegrei_2024_06_08_01_52_04,40.829833,14.144,54.17892787307174,76.13837064957877,76.67193030544257,2.456373217467698,1917.363304541507
flegrei_2023_10_04_08_46_55,40.8295,14.134167,115.09642004999723,54.93710076235068,-124.66369524370572,2.684392298077933,2567.0408805867146
flegrei_2024_05_20_21_00_55,40.822667,14.124333,96.97600603398536,60.037608996985604,-81.32635944452487,2.9960769823012736,3934.9996881728707
flegrei_2022_11_12_21_37_54,40.809799,14.1172,141.56042773530262,73.36135233962338,-67.68284557213317,2.591502818337828,3728.0340908232806
flegrei_2024_05_07_01_47_54,40.826,14.145,70.55726075130612,52.04309024969258,-84.56339759931096,2.517688213367185,1300.856604527287
flegrei_2024_05_13_20_49_58,40.8315,14.140167,239.59880474140147,73.61234842188047,-52.704444572349104,1.5490753674257096,1045.002033783338
flegrei_2024_04_16_03_38_05,40.828667,14.151667,291.4720660393865,77.73036682266807,-95.95473351671805,2.6503901425106573,3431.233162786191
flegrei_2023_06_15_15_39_40,40.831501,14.1402,239.44465594937998,55.67569493054691,-120.34532995828589,2.3773240918537493,2409.7124740270465
flegrei_2024_03_03_09_01_59,40.816,14.152167,90.77710949022195,34.11045547316782,-172.58289826628578,2.833267765347342,2994.0039398291647
flegrei_2024_03_10_17_15_06,40.8205,14.144667,78.96584768165268,58.430040112431755,28.565443723748423,1.7041844183031234,734.0766337714383
flegrei_2023_09_12_02_28_50,40.828,14.139167,64.054594242009,74.08387836183286,-90.07261747385775,2.330183337457809,2161.32796136723
flegrei_2024_05_18_04_30_55,40.835333,14.143333,205.01520786582378,56.516040112806586,107.46755622305585,2.4942914632869755,1459.038200553297
flegrei_2024_07_02_13_10_14,40.815,14.1555,317.6506570122809,57.237618324572395,-131.44837547284774,3.0898519156480067,4441.1487511073765
flegrei_2024_02_17_18_09_50,40.811333,14.0975,133.4655810219658,57.52685109498004,-94.56301215891045,2.655188358645356,5207.373844790477
flegrei_2024_05_10_11_25_52,40.811333,14.1035,297.4284923868557,70.62527797100468,-65.60273903562492,2.4158235666346464,882.8594369359164
flegrei_2023_08_18_00_01_28,40.818802,14.1505,26.873850896906564,51.42685917090935,99.3995427126273,1.3593617879635378,699.5147912095841
flegrei_2024_07_02_13_13_45,40.8135,14.158,264.05306424589173,43.89223657704657,-128.20798898013948,2.2614236411329465,1946.7039076269384
flegrei_2024_05_10_11_26_10,40.811,14.1145,301.5232085277247,87.45999271598453,51.095980218724314,3.042134017677663,4154.575310634431
flegrei_2024_04_27_03_44_56,40.8085,14.094,284.21463050371324,49.42018636600834,-173.6163206338077,3.708864615288018,5186.797129231763
flegrei_2023_05_08_02_28_34,40.827702,14.1402,273.98738577782234,83.10802772283357,96.93354389120391,2.57595844568875,1568.7522226078402
flegrei_2024_05_20_22_55_54,40.818167,14.144333,109.60398698994472,26.257051652224497,-1.2853849718103034,1.8319496558889714,273.44828571599305
flegrei_2023_11_23_18_41_46,40.8315,14.133333,110.66818510499623,53.37447207235746,-61.3554228485262,2.4889280898177937,2642.449275940515
flegrei_2023_03_13_22_40_53,40.8358,14.1402,300.41692066329034,61.416387437521664,-15.10766258907872,2.3526446962152487,2170.42615872176
flegrei_2024_05_20_19_55_37,40.822833,14.125667,85.3595197306004,54.045567569094786,-105.76830272271407,2.9532824936631474,3166.2341689849895
flegrei_2024_05_08_05_29_10,40.8325,14.13,121.95490268223838,80.85400722374509,106.131406374545,1.8070857405195486,1622.6970468055229
flegrei_2024_07_18_06_08_37,40.831,14.150667,94.92312693044008,64.20943750673304,-36.310536422719494,2.614337411779088,1580.8592297202595
flegrei_2024_05_07_03_53_22,40.827,14.144167,54.54093749219684,36.30568176483878,157.4887555875172,2.5572064271420327,1234.0822445887538
flegrei_2024_05_25_01_03_23,40.8295,14.140167,264.92997615540685,77.18468030938877,72.56770097858633,1.9559544363313357,1425.7814747031935
flegrei_2024_04_06_11_59_31,40.803667,14.1145,249.12426969252002,42.329311272251445,-168.02595640326942,2.8465786648725544,6255.067613331663
flegrei_2023_01_19_08_44_30,40.827202,14.1338,117.93218005430687,64.56605415153706,-77.43146715049932,2.5200569927718828,2857.648185085835
flegrei_2023_06_02_09_43_54,40.827202,14.1423,39.0240648969339,45.51974878131391,-87.25720514159873,2.3965003682812327,2092.3152630925824
