event_name,latitude,longitude,strike,dip,rake,magnitude,depth
flegrei_2023_08_18_04_22_49,40.8297,14.1387,99.73306216420914,82.58307266928273,-42.574127665599164,2.7666429294272454,2553.2659553095323
flegrei_2023_10_02_20_08_26,40.830667,14.15,252.24679095257878,65.55839529715072,-61.77731603566144,3.3657120273827026,3292.9590741531865
flegrei_2019_12_06_00_17_23,40.83017,14.14933,250.50144784886882,65.67751617005285,-63.93165930375581,3.2639655390845714,4566.454313826507
flegrei_2018_09_18_21_36_41,40.827499,14.148,268.0543614746556,69.51767379796053,-64.91439676619991,2.5491901427144263,2992.669187149064
flegrei_2024_06_08_02_09_03,40.830667,14.149,71.40186440796387,66.08274521914005,-69.1914855129692,3.0222301348589813,1688.8328469822327
flegrei_2024_07_26_11_46_21,40.805667,14.098333,321.753716102671,69.51600256670149,-85.68856566664743,3.588470507634254,4189.670449793666
flegrei_2022_07_30_03_27_48,40.827301,14.1402,245.04705133252017,80.45868205713917,-50.79738208344053,2.483921286496969,5041.880101101281
flegrei_2019_10_05_05_08_37,40.828171,14.1475,304.2376871435239,49.97461235624852,89.58917784629121,2.995449709224065,5730.95364301565
flegrei_2024_06_08_01_52_04,40.829833,14.144,264.9475504345499,64.028113118974,-39.01529026688718,2.688324032839498,2329.50153275672
flegrei_2023_10_04_08_46_55,40.8295,14.134167,83.46364168088309,65.42970564664554,-86.45878365704012,2.8420251489842236,3189.940633260919
flegrei_2024_05_20_21_00_55,40.822667,14.124333,216.27808788907473,87.23520334396613,-113.85481190771063,3.208230976269258,3984.562094425579
flegrei_2022_11_12_21_37_54,40.809799,14.1172,321.76290705282565,48.20235227476095,-148.87076572730538,2.6884494530405583,3258.3662814502786
flegrei_2024_05_07_01_47_54,40.826,14.145,261.4614837743412,54.641207027180435,-53.254655157396904,2.509952930737871,1444.3815606447315
flegrei_2024_05_13_20_49_58,40.8315,14.140167,104.36843822703304,50.52809259119242,112.05861397714155,2.7295759198124365,5475.233332111274
flegrei_2024_04_16_03_38_05,40.828667,14.151667,324.74720015146886,25.184176973685997,61.8219692027398,2.850753339345413,5447.228407257934
flegrei_2023_06_15_15_39_40,40.831501,14.1402,235.18874196553702,63.54655793816752,-107.43966957631099,2.858328823228499,3979.559550340498
flegrei_2024_03_03_09_01_59,40.816,14.152167,83.90562052505668,43.96909072015729,-133.74258833507687,2.9948391967131123,3652.386292857173
flegrei_2024_03_10_17_15_06,40.8205,14.144667,72.791559043489,73.401170687676,117.54029452315876,2.8845815899976763,7965.503334585091
flegrei_2023_09_12_02_28_50,40.828,14.139167,61.67409144643769,72.12943477041873,-80.95251972930284,2.2821438941168815,2128.6751993725125
flegrei_2024_05_18_04_30_55,40.835333,14.143333,237.1409190780076,63.41027419299685,-106.16382504344642,2.8553678810852468,2632.961074682463
flegrei_2024_07_02_13_10_14,40.815,14.1555,129.45270549549156,87.35588014130033,83.8107327375137,3.061923294144316,3649.4164288602747
flegrei_2024_02_17_18_09_50,40.811333,14.0975,288.90106887479845,78.45318182956544,-60.623408126797756,3.2101461602340553,6767.795208393691
flegrei_2024_05_10_11_25_52,40.811333,14.1035,71.40800441053122,23.313944458441664,179.12831461622397,3.2862850544097295,4186.047835780237
flegrei_2023_08_18_00_01_28,40.818802,14.1505,125.02463859745507,25.281124455480555,30.61414533919334,2.498560873209403,7515.052317733787
flegrei_2024_07_02_13_13_45,40.8135,14.158,166.047468622777,59.470970812617885,76.88051025441234,2.68268359128467,7747.940131486629
flegrei_2024_05_10_11_26_10,40.811,14.1145,288.79477174637935,80.48408536553397,-154.92249394263575,3.335519893643786,7467.868423374785
flegrei_2024_04_27_03_44_56,40.8085,14.094,308.19674496318135,69.15150127018349,-118.10568819322707,3.43316196562329,3488.534859113347
flegrei_2023_05_08_02_28_34,40.827702,14.1402,273.68091980210795,46.629950231766266,-63.45030000244632,2.8085676799541215,2103.614192710128
flegrei_2024_05_20_22_55_54,40.818167,14.144333,73.89358825463904,55.17108947253306,11.365339603944763,3.2153750734002475,5553.216703450034
flegrei_2023_11_23_18_41_46,40.8315,14.133333,289.74674282578115,64.9913417687229,-72.85930690519284,3.2426322227016744,6375.0353114373975
flegrei_2023_03_13_22_40_53,40.8358,14.1402,303.31677706629347,66.83785521523109,-37.10638675949294,2.888308700686787,4000.275733876832
flegrei_2024_05_20_19_55_37,40.822833,14.125667,276.8619387142319,63.33769910098319,-73.00799955661624,2.946179185730866,3138.440346277727
flegrei_2024_05_08_05_29_10,40.8325,14.13,251.8426524905345,45.8631989665524,20.400904970528465,2.5692916189085917,3522.7865386360295
flegrei_2024_07_18_06_08_37,40.831,14.150667,96.771943903926,68.08261735518917,-60.587187029694924,3.1845815582497874,3825.953627618045
flegrei_2024_05_07_03_53_22,40.827,14.144167,254.16714465418002,55.3634381741875,-40.813681180207155,2.6276412336175508,1252.791947594574
flegrei_2024_05_25_01_03_23,40.8295,14.140167,317.07602216860676,67.46358001770265,72.13009367892911,2.742237538746341,6689.472520663526
flegrei_2024_04_06_11_59_31,40.803667,14.1145,69.46239594679294,47.68648571925079,-152.124494611402,3.0562962841962324,7143.172968987274
flegrei_2023_01_19_08_44_30,40.827202,14.1338,56.72706719697528,72.77518354777041,133.34825776194683,2.8299664732692182,3390.01489736203
